id,mappings,description
Account,,"A class to specify an account as an account number alongside, optionally. an account name, an account type, an account beneficiary and a servicing party."
AccrualFactor,,"The accrual rate and related terms, to adjust the price of an underlier impacted by a Corporate Action when economic impact consists in freezing the underlier price to the last fixing then applying accruals per each remaining underlier price fixing date required i.e. for each fixing date, adjustedPrice = lastFixingPrice x accrualFactor, where: accrualFactor = (1 + accrualRateValue x DCF)."
AccrualFactorCalculationTerms,,"Describes the input terms involved in the calculation of the accrual factor. Optionnally, long and short stub interpolation rates can be specified."
AcctOwnr,,
AdditionalDisruptionEvents,,A type for defining the Additional Disruption Events.
AdditionalFixedPayments,,A class to specify the events that will give rise to the payment additional fixed payments.
AdditionalObligations,,The election of party specific additional obligations applicable to the agreement.
AdditionalRepresentation,,A class to specify the Additional Representation.
AdditionalRepresentationElection,,A class to specify the parties' Additional Representation(s) election.
AdditionalRepresentations,,A class to specify Additional Representations that may be applicable to an agreement.
AdditionalRightsEvent,,A class to specify the Pledgor/Obligor/Chargor Additional Rights Event election.
AdditionalTerminationEvent,,"A class to specify an optional termination event, additional to the Termination Events that will be deemed an Access Condition (Initial Margin CSA) or a Specified Condition (Variation Margin CSA)."
AdditionalType,,The specification of the Additional Type of transaction that can require the collection or delivery of initial margin under a given regulatory regime for the purposes of Covered Transactions.
Address,,A class to specify a post or street address.
AddressesForTransfer,,Specifies the address for transfer as specified by the respective parties to the agreement.
AddtlAttrbts,,
AdjustableDate,,"A class for defining a date that shall be subject to adjustment if it would otherwise fall on a day that is not a business day in the specified business centers, together with the convention for adjusting the date."
AdjustableDates,,"A class for defining a series of dates that shall be subject to adjustment if they would otherwise fall on a day that is not a business day in the specified business centers, together with the convention for adjusting the dates."
AdjustableOrAdjustedDate,,"A class for defining a date that shall be subject to adjustment if it would otherwise fall on a day that is not a business day in the specified business centers, together with the convention for adjusting the date."
AdjustableOrAdjustedOrRelativeDate,,"This Rosetta class specifies the date as either an unadjusted, adjusted or relative date. It supplements the features of the AdjustableOrAdjustedDate to support the credit default swap option premium, which uses the relative date construct."
AdjustableOrRelativeDate,,A class giving the choice between defining a date as an explicit date together with applicable adjustments or as relative to some other (anchor) date.
AdjustableOrRelativeDates,,A class giving the choice between defining a series of dates as an explicit list of dates together with applicable adjustments or as relative to some other series of (anchor) dates.
AdjustableRelativeOrPeriodicDates,,"A class giving the choice between defining a series of dates as an explicit list of dates together with applicable adjustments or as relative to some other series of (anchor) dates, or as a calculation period schedule."
AdjustedRelativeDateOffset,,A type defining a date (referred to as the derived date) as a relative offset from another date (referred to as the anchor date) plus optional date adjustments.
AdjustmentFactor,,Describes the terms involved for adjusting the price of the underlier impacted by a Corporate Action.
AdjustmentFactorCalculationTerms,,Describes the input terms involved in the calculation of the adjustment factor applied to the price of the underlier impacted by a Corporate Action.
AgencyRatingCriteria,,Represents a class to specify a credit notation.
Aggregation,,"The definitions for whether aggregation applies to the GMSLA, and if so how it applies."
AggregationParameters,,Parameters to be used to filter events that are relevant to a given portfolio in order to calculate the state of this portfolio. The attributes correspond to all the possible aggregation criteria that can be used and these criteria can be combined. All the attributes are optional.
Agreement,,Specification of the standard set of terms that define a legal agreement.
AgreementName,,Specifies the agreement name through an agreement type and optional detailed sub agreement type.
AgreementTerms,,Specification of the content of a legal agreement.
AllCriteria,,Used to combine two or more Collateral Criteria using AND logic.
AllDirectionRating,,Used to combine two or more Ratings and associated direction using AND logic.
AllEligibilityToHoldCollateralCriteria,,Used to combine two or more Criteria using AND logic.
AmendmentEffectiveDate,,"A class to specify the effective date of the Amendment to Termination Currency. This date can be specified as either an actual date, a specific date (e.g. the annex date) or as a custom provision."
AmountOfNetCapital,,The amount of net capital.
AmountSchedule,,A class to specify a currency amount or a currency amount schedule.
AncillaryEntity,,"Holds an identifier for an ancillary entity, either identified directly via its ancillary role or directly as a legal entity."
AncillaryParty,,"Defines an ancillary role enumerated value with an associated party reference. The product is agnostic to the actual parties involved in the transaction, with the party references abstracted away from the product definition and replaced by the AncillaryRoleEnum. The AncillaryRoleEnum can then be positioned in the product and this AncillaryParty type, which is positioned outside of the product definition, allows the AncillaryRoleEnum to be associated with an actual party reference."
AnyCriteria,,Used to combine two or more Collateral Criteria using OR logic.
AnyDirectionRating,,Used to combine two or more Ratings and associated direction using OR logic.
AnyEligibilityToHoldCollateralCriteria,,Used to combine two or more Criteria using OR logic.
ApplicableRegime,,"A class to specify the applicable regulatory regime(s) that parties to a legal agreement, such as the ISDA 2016 and 2018 CSA for Initial Margin, might be subject to."
AppropriatedCollateralValuation,,A class to specify the Valuation of Appropriated Collateral.
Asset,,"An Asset is defined as something that can be owned and transferred in the financial markets. As a choice data type, one and only one of the attributes must be used."
