#license: Apache-2.0
#mapping_set_id: https://w3id.org/lmodel/common-domain-model
#mapping_tool: https://w3id.org/linkml/
#creator_id: linkml_user
#mapping_date: 2026-05-21
#curie_map: 
# common_domain_model: https://w3id.org/lmodel/common-domain-model/
# linkml: https://w3id.org/linkml/
# schema: http://schema.org/
# fpml: http://www.fpml.org/coding-scheme/
# fpml_5_10: https://www.fpml.org/spec/fpml-5-10#
# isda: https://www.isda.org/specifications/
# icma: https://www.icmagroup.org/market-practice-and-regulatory-policy/
# gist: https://w3id.org/lmodel/gist/
# iso29100: https://w3id.org/lmodel/iso29100/
# oscal: https://w3id.org/lmodel/oscal/
# spdx: https://spdx.org/rdf/3.0.1/terms/
subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	comment
common_domain_model:AccountTypeEnum#AggregateClient	AggregateClient	skos:exactMatch		http://www.fpml.org/coding-scheme/account-type-1-1#AggregateClient		skos:exactMatch	https://w3id.org/lmodel/common-domain-model/cdm_base_staticdata_party						AccountTypeEnum			
common_domain_model:AccountTypeEnum#Client	Client	skos:exactMatch		http://www.fpml.org/coding-scheme/account-type-1-1#Client		skos:exactMatch	https://w3id.org/lmodel/common-domain-model/cdm_base_staticdata_party						AccountTypeEnum			
common_domain_model:AccountTypeEnum#House	House	skos:exactMatch		http://www.fpml.org/coding-scheme/account-type-1-1#House		skos:exactMatch	https://w3id.org/lmodel/common-domain-model/cdm_base_staticdata_party						AccountTypeEnum			
common_domain_model:AssetClassEnum#Commodity	Commodity	skos:exactMatch		http://www.fpml.org/coding-scheme/asset-class-2-1#Commodity		skos:exactMatch	https://w3id.org/lmodel/common-domain-model/cdm_base_staticdata_asset_common						AssetClassEnum			
common_domain_model:AssetClassEnum#Credit	Credit	skos:exactMatch		http://www.fpml.org/coding-scheme/asset-class-2-1#Credit		skos:exactMatch	https://w3id.org/lmodel/common-domain-model/cdm_base_staticdata_asset_common						AssetClassEnum			
common_domain_model:AssetClassEnum#Equity	Equity	skos:exactMatch		http://www.fpml.org/coding-scheme/asset-class-2-1#Equity		skos:exactMatch	https://w3id.org/lmodel/common-domain-model/cdm_base_staticdata_asset_common						AssetClassEnum			
common_domain_model:AssetClassEnum#ForeignExchange	ForeignExchange	skos:exactMatch		http://www.fpml.org/coding-scheme/asset-class-2-1#ForeignExchange		skos:exactMatch	https://w3id.org/lmodel/common-domain-model/cdm_base_staticdata_asset_common						AssetClassEnum			
common_domain_model:AssetClassEnum#InterestRate	InterestRate	skos:exactMatch		http://www.fpml.org/coding-scheme/asset-class-2-1#InterestRate		skos:exactMatch	https://w3id.org/lmodel/common-domain-model/cdm_base_staticdata_asset_common						AssetClassEnum			
common_domain_model:BrokerConfirmationTypeEnum#ABX	ABX	skos:exactMatch		http://www.fpml.org/coding-scheme/broker-confirmation-type-5-0#ABX		skos:exactMatch	https://w3id.org/lmodel/common-domain-model/cdm_legaldocumentation_transaction						BrokerConfirmationTypeEnum			
common_domain_model:BrokerConfirmationTypeEnum#AsiaCorporate	AsiaCorporate	skos:exactMatch		http://www.fpml.org/coding-scheme/broker-confirmation-type-5-0#AsiaCorporate		skos:exactMatch	https://w3id.org/lmodel/common-domain-model/cdm_legaldocumentation_transaction						BrokerConfirmationTypeEnum			
common_domain_model:BrokerConfirmationTypeEnum#AsiaSovereign	AsiaSovereign	skos:exactMatch		http://www.fpml.org/coding-scheme/broker-confirmation-type-5-0#AsiaSovereign		skos:exactMatch	https://w3id.org/lmodel/common-domain-model/cdm_legaldocumentation_transaction						BrokerConfirmationTypeEnum			
common_domain_model:BrokerConfirmationTypeEnum#AustraliaCorporate	AustraliaCorporate	skos:exactMatch		http://www.fpml.org/coding-scheme/broker-confirmation-type-5-0#AustraliaCorporate		skos:exactMatch	https://w3id.org/lmodel/common-domain-model/cdm_legaldocumentation_transaction						BrokerConfirmationTypeEnum			
common_domain_model:BrokerConfirmationTypeEnum#AustraliaSovereign	AustraliaSovereign	skos:exactMatch		http://www.fpml.org/coding-scheme/broker-confirmation-type-5-0#AustraliaSovereign		skos:exactMatch	https://w3id.org/lmodel/common-domain-model/cdm_legaldocumentation_transaction						BrokerConfirmationTypeEnum			
common_domain_model:BrokerConfirmationTypeEnum#CDSonLeveragedLoans	CDSonLeveragedLoans	skos:exactMatch		http://www.fpml.org/coding-scheme/broker-confirmation-type-5-0#CDSonLeveragedLoans		skos:exactMatch	https://w3id.org/lmodel/common-domain-model/cdm_legaldocumentation_transaction						BrokerConfirmationTypeEnum			
common_domain_model:BrokerConfirmationTypeEnum#CDSonMBS	CDSonMBS	skos:exactMatch		http://www.fpml.org/coding-scheme/broker-confirmation-type-5-0#CDSonMBS		skos:exactMatch	https://w3id.org/lmodel/common-domain-model/cdm_legaldocumentation_transaction						BrokerConfirmationTypeEnum			
common_domain_model:BrokerConfirmationTypeEnum#CDXEmergingMarkets	CDXEmergingMarkets	skos:exactMatch		http://www.fpml.org/coding-scheme/broker-confirmation-type-5-0#CDXEmergingMarkets		skos:exactMatch	https://w3id.org/lmodel/common-domain-model/cdm_legaldocumentation_transaction						BrokerConfirmationTypeEnum			
common_domain_model:BrokerConfirmationTypeEnum#CDXEmergingMarketsDiversified	CDXEmergingMarketsDiversified	skos:exactMatch		http://www.fpml.org/coding-scheme/broker-confirmation-type-5-0#CDXEmergingMarketsDiversified		skos:exactMatch	https://w3id.org/lmodel/common-domain-model/cdm_legaldocumentation_transaction						BrokerConfirmationTypeEnum			
common_domain_model:BrokerConfirmationTypeEnum#CDXSwaption	CDXSwaption	skos:exactMatch		http://www.fpml.org/coding-scheme/broker-confirmation-type-5-0#CDXSwaption		skos:exactMatch	https://w3id.org/lmodel/common-domain-model/cdm_legaldocumentation_transaction						BrokerConfirmationTypeEnum			
common_domain_model:BrokerConfirmationTypeEnum#CDXTranche	CDXTranche	skos:exactMatch		http://www.fpml.org/coding-scheme/broker-confirmation-type-5-0#CDXTranche		skos:exactMatch	https://w3id.org/lmodel/common-domain-model/cdm_legaldocumentation_transaction						BrokerConfirmationTypeEnum			
common_domain_model:BrokerConfirmationTypeEnum#CMBX	CMBX	skos:exactMatch		http://www.fpml.org/coding-scheme/broker-confirmation-type-5-0#CMBX		skos:exactMatch	https://w3id.org/lmodel/common-domain-model/cdm_legaldocumentation_transaction						BrokerConfirmationTypeEnum			
common_domain_model:BrokerConfirmationTypeEnum#EmergingEuropeanAndMiddleEasternSovereign	EmergingEuropeanAndMiddleEasternSovereign	skos:exactMatch		http://www.fpml.org/coding-scheme/broker-confirmation-type-5-0#EmergingEuropeanAndMiddleEasternSovereign		skos:exactMatch	https://w3id.org/lmodel/common-domain-model/cdm_legaldocumentation_transaction						BrokerConfirmationTypeEnum			
common_domain_model:BrokerConfirmationTypeEnum#EmergingEuropeanCorporate	EmergingEuropeanCorporate	skos:exactMatch		http://www.fpml.org/coding-scheme/broker-confirmation-type-5-0#EmergingEuropeanCorporate		skos:exactMatch	https://w3id.org/lmodel/common-domain-model/cdm_legaldocumentation_transaction						BrokerConfirmationTypeEnum			
common_domain_model:BrokerConfirmationTypeEnum#EmergingEuropeanCorporateLPN	EmergingEuropeanCorporateLPN	skos:exactMatch		http://www.fpml.org/coding-scheme/broker-confirmation-type-5-0#EmergingEuropeanCorporateLPN		skos:exactMatch	https://w3id.org/lmodel/common-domain-model/cdm_legaldocumentation_transaction						BrokerConfirmationTypeEnum			
common_domain_model:BrokerConfirmationTypeEnum#EuropeanCMBS	EuropeanCMBS	skos:exactMatch		http://www.fpml.org/coding-scheme/broker-confirmation-type-5-0#EuropeanCMBS		skos:exactMatch	https://w3id.org/lmodel/common-domain-model/cdm_legaldocumentation_transaction						BrokerConfirmationTypeEnum			
