Class Name	Parent Class	YAML Class Name	Description	Flags	Slot Name	YAML Slot Name	Range	Card	Slot Description	URI
Account		Account	A class to specify an account as an account number alongside, optionally. an account name, an account type, an account beneficiary and a servicing party.							
					partyReference	Account_partyReference	Party	1..1	A reference to the party to which the account refers to.	common_domain_model:partyReference
					accountNumber		str	1..1	The account number.	common_domain_model:accountNumber
					accountName		str	0..1	The name by which the account is known.	common_domain_model:accountName
					accountType		AccountTypeEnum	0..1	The type of account, e.g. client, house.	common_domain_model:accountType
					accountBeneficiary		Party	0..1	A reference to the party beneficiary of the account.	common_domain_model:accountBeneficiary
					servicingParty		Party	0..1	The reference to the legal entity that services the account, i.e. in the books of which the account is held.	common_domain_model:servicingParty
AccrualFactor		AccrualFactor	The accrual rate and related terms, to adjust the price of an underlier impacted by a Corporate Action when economic impact consists in freezing the underlier price to the last fixing then applying accruals per each remaining underlier price fixing date required i.e. for each fixing date, adjustedPrice = lastFixingPrice x accrualFactor, where: accrualFactor = (1 + accrualRateValue x DCF).							
					value	AccrualFactor_value	PriceSchedule	1..1	The rate to be applied to the last fixing price, for price accrual calculation purposes. DatedValue may be used for the purpose of representing Price series if such calculation is required for multiple dates.	common_domain_model:value
					calculationTerms	AccrualFactor_calculationTerms	AccrualFactorCalculationTerms	0..1	Describes the input terms involved in the calculation of the accrual factor.	common_domain_model:calculationTerms
AccrualFactorCalculationTerms		AccrualFactorCalculationTerms	Describes the input terms involved in the calculation of the accrual factor. Optionnally, long and short stub interpolation rates can be specified.							
					tenorTillMaturity		Decimal	1..1	The duration between last fixing date and the payment date of accruals, calculated in accordance with the appropriate DayCountFraction.	common_domain_model:tenorTillMaturity
					dayCountFraction		DayCountFractionEnum	1..1	The enumerated values to specify the day count fraction.	common_domain_model:dayCountFraction
					interpolationTerms		StubValue	0..1	Describes the rate, tenor, period duration for the short and long stubs, when the accrualRate optionnaly results from an interpolation method.	common_domain_model:interpolationTerms
AcctOwnr		AcctOwnr								
					id		Id	1..1		common_domain_model:id
AdditionalDisruptionEvents		AdditionalDisruptionEvents	A type for defining the Additional Disruption Events.							
					changeInLaw		Bool	0..1		common_domain_model:changeInLaw
