#curie_map:
#  common_domain_model: https://w3id.org/lmodel/common_domain_model/
#  gist: https://w3id.org/lmodel/gist/
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#mapping_set_id: https://w3id.org/lmodel/common_domain_model/mappings/cdm__gist
#mapping_set_description: Manually curated SSSOM mappings between FINOS CDM classes and the Gist upper business ontology (lmodel/gist).
#license: https://www.apache.org/licenses/LICENSE-2.0
subject_id	subject_label	subject_source	predicate_id	object_id	object_label	object_source	mapping_justification	comment
common_domain_model:Party	Party	common_domain_model	skos:closeMatch	gist:Organization	Organization	gist	semapv:ManualMappingCuration	CDM Party subsumes legal entities and natural persons; gist Organization is the closest formal-business concept
common_domain_model:Party	Party	common_domain_model	skos:relatedMatch	gist:Person	Person	gist	semapv:ManualMappingCuration	CDM Party also covers natural persons
common_domain_model:LegalEntity	LegalEntity	common_domain_model	skos:closeMatch	gist:Organization	Organization	gist	semapv:ManualMappingCuration	CDM LegalEntity is a formally-recognised organisation
common_domain_model:LegalEntity	LegalEntity	common_domain_model	skos:narrowMatch	gist:GovernmentOrganization	GovernmentOrganization	gist	semapv:ManualMappingCuration	gist GovernmentOrganization is a narrower kind of LegalEntity
common_domain_model:NaturalPerson	NaturalPerson	common_domain_model	skos:closeMatch	gist:Person	Person	gist	semapv:ManualMappingCuration	Both represent a human individual
common_domain_model:Account	Account	common_domain_model	skos:closeMatch	gist:Account	Account	gist	semapv:ManualMappingCuration	Both model a financial or custodial account
common_domain_model:Address	Address	common_domain_model	skos:closeMatch	gist:Address	Address	gist	semapv:ManualMappingCuration	Both abstract over physical and electronic addresses
common_domain_model:Address	Address	common_domain_model	skos:relatedMatch	gist:PhysicalAddress	PhysicalAddress	gist	semapv:ManualMappingCuration	CDM Address can carry physical-address fields
common_domain_model:ContactInformation	ContactInformation	common_domain_model	skos:closeMatch	gist:ElectronicAddress	ElectronicAddress	gist	semapv:ManualMappingCuration	CDM ContactInformation holds email/phone/electronic endpoints
common_domain_model:BusinessUnit	BusinessUnit	common_domain_model	skos:closeMatch	gist:Organization	Organization	gist	semapv:ManualMappingCuration	A business unit is an organisational subdivision
