#curie_map:
#  cdm.rosetta: https://cdm.finos.org/rosetta/
#  common_domain_model: https://w3id.org/lmodel/common-domain-model/
#  linkml: https://w3id.org/linkml/
#  semapv: https://w3id.org/semapv/vocab/
subject_id	subject_label	subject_source	predicate_id	object_id	object_label	object_source	mapping_justification	comment
cdm.rosetta:cdm.base	cdm.base	cdm.rosetta	skos:exactMatch	common_domain_model:cdm_base	cdm_base	common_domain_model	semapv:ManualMappingCuration	Rosetta namespace -> LinkML module
cdm.rosetta:cdm.base.datetime	cdm.base.datetime	cdm.rosetta	skos:exactMatch	common_domain_model:cdm_base_datetime	cdm_base_datetime	common_domain_model	semapv:ManualMappingCuration	Rosetta namespace -> LinkML module
cdm.rosetta:cdm.base.datetime.AdjustableDate	type AdjustableDate	cdm.rosetta	skos:exactMatch	common_domain_model:AdjustableDate	class AdjustableDate	common_domain_model	semapv:ManualMappingCuration	Rosetta type -> LinkML class in cdm_base_datetime
cdm.rosetta:cdm.base.datetime.AdjustableDate.unadjustedDate	AdjustableDate.unadjustedDate	cdm.rosetta	skos:exactMatch	common_domain_model:unadjustedDate	slot unadjustedDate	common_domain_model	semapv:ManualMappingCuration	Rosetta attr (0..1) -> LinkML slot
cdm.rosetta:cdm.base.datetime.AdjustableDate.dateAdjustments	AdjustableDate.dateAdjustments	cdm.rosetta	skos:exactMatch	common_domain_model:dateAdjustments	slot dateAdjustments	common_domain_model	semapv:ManualMappingCuration	Rosetta attr (0..1) -> LinkML slot
cdm.rosetta:cdm.base.datetime.AdjustableDate.dateAdjustmentsReference	AdjustableDate.dateAdjustmentsReference	cdm.rosetta	skos:exactMatch	common_domain_model:dateAdjustmentsReference	slot dateAdjustmentsReference	common_domain_model	semapv:ManualMappingCuration	Rosetta attr (0..1) -> LinkML slot
cdm.rosetta:cdm.base.datetime.AdjustableDate.adjustedDate	AdjustableDate.adjustedDate	cdm.rosetta	skos:exactMatch	common_domain_model:adjustedDate	slot adjustedDate	common_domain_model	semapv:ManualMappingCuration	Rosetta attr (0..1) -> LinkML slot
cdm.rosetta:cdm.base.datetime.AdjustableDates	type AdjustableDates	cdm.rosetta	skos:exactMatch	common_domain_model:AdjustableDates	class AdjustableDates	common_domain_model	semapv:ManualMappingCuration	Rosetta type -> LinkML class in cdm_base_datetime
cdm.rosetta:cdm.base.datetime.AdjustableDates.unadjustedDate	AdjustableDates.unadjustedDate	cdm.rosetta	skos:exactMatch	common_domain_model:unadjustedDate	slot unadjustedDate	common_domain_model	semapv:ManualMappingCuration	Rosetta attr (0..*) -> LinkML slot
cdm.rosetta:cdm.base.datetime.AdjustableDates.dateAdjustments	AdjustableDates.dateAdjustments	cdm.rosetta	skos:exactMatch	common_domain_model:dateAdjustments	slot dateAdjustments	common_domain_model	semapv:ManualMappingCuration	Rosetta attr (0..1) -> LinkML slot
