#curie_map:
#  common_domain_model: https://w3id.org/finos/cdm/
#  fpml: http://www.fpml.org/coding-scheme/
#  isda: https://www.isda.org/specifications/
#  icma: https://www.icmagroup.org/market-practice-and-regulatory-policy/
#  iso: https://www.iso.org/standard/
#  ore: https://www.opensourcerisk.org/documentation/
#  createiq: https://www.isda.org/create-iq/
#  fis: https://www.fisglobal.com/
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
subject_id	subject_label	subject_source	predicate_id	object_id	object_label	object_source	mapping_justification	comment
common_domain_model:BusinessCenterEnum	BusinessCenterEnum	common_domain_model	skos:exactMatch	http://www.fpml.org/coding-scheme/business-center	FpML_Coding_Scheme	ISDA	semapv:ManualMappingCuration	CDM enum -> ISDA coding scheme
common_domain_model:BusinessCenterEnum.AEAB	AEAB	common_domain_model	skos:exactMatch	http://www.fpml.org/coding-scheme/business-center-9-3#AEAB	AEAB	ISDA	semapv:LexicalMatching	CDM enum value -> FpML code
common_domain_model:BusinessCenterEnum.AEAD	AEAD	common_domain_model	skos:exactMatch	http://www.fpml.org/coding-scheme/business-center-9-3#AEAD	AEAD	ISDA	semapv:LexicalMatching	CDM enum value -> FpML code
common_domain_model:BusinessCenterEnum.AEDU	AEDU	common_domain_model	skos:exactMatch	http://www.fpml.org/coding-scheme/business-center-9-3#AEDU	AEDU	ISDA	semapv:LexicalMatching	CDM enum value -> FpML code
common_domain_model:BusinessCenterEnum.AMYE	AMYE	common_domain_model	skos:exactMatch	http://www.fpml.org/coding-scheme/business-center-9-3#AMYE	AMYE	ISDA	semapv:LexicalMatching	CDM enum value -> FpML code
common_domain_model:BusinessCenterEnum.AOLU	AOLU	common_domain_model	skos:exactMatch	http://www.fpml.org/coding-scheme/business-center-9-3#AOLU	AOLU	ISDA	semapv:LexicalMatching	CDM enum value -> FpML code
common_domain_model:BusinessCenterEnum.ARBA	ARBA	common_domain_model	skos:exactMatch	http://www.fpml.org/coding-scheme/business-center-9-3#ARBA	ARBA	ISDA	semapv:LexicalMatching	CDM enum value -> FpML code
common_domain_model:BusinessCenterEnum.ATVI	ATVI	common_domain_model	skos:exactMatch	http://www.fpml.org/coding-scheme/business-center-9-3#ATVI	ATVI	ISDA	semapv:LexicalMatching	CDM enum value -> FpML code
common_domain_model:BusinessCenterEnum.AUAD	AUAD	common_domain_model	skos:exactMatch	http://www.fpml.org/coding-scheme/business-center-9-3#AUAD	AUAD	ISDA	semapv:LexicalMatching	CDM enum value -> FpML code
common_domain_model:BusinessCenterEnum.AUBR	AUBR	common_domain_model	skos:exactMatch	http://www.fpml.org/coding-scheme/business-center-9-3#AUBR	AUBR	ISDA	semapv:LexicalMatching	CDM enum value -> FpML code
common_domain_model:BusinessCenterEnum.AUCA	AUCA	common_domain_model	skos:exactMatch	http://www.fpml.org/coding-scheme/business-center-9-3#AUCA	AUCA	ISDA	semapv:LexicalMatching	CDM enum value -> FpML code
common_domain_model:BusinessCenterEnum.AUDA	AUDA	common_domain_model	skos:exactMatch	http://www.fpml.org/coding-scheme/business-center-9-3#AUDA	AUDA	ISDA	semapv:LexicalMatching	CDM enum value -> FpML code
common_domain_model:BusinessCenterEnum.AUME	AUME	common_domain_model	skos:exactMatch	http://www.fpml.org/coding-scheme/business-center-9-3#AUME	AUME	ISDA	semapv:LexicalMatching	CDM enum value -> FpML code
common_domain_model:BusinessCenterEnum.AUPE	AUPE	common_domain_model	skos:exactMatch	http://www.fpml.org/coding-scheme/business-center-9-3#AUPE	AUPE	ISDA	semapv:LexicalMatching	CDM enum value -> FpML code
common_domain_model:BusinessCenterEnum.AUSY	AUSY	common_domain_model	skos:exactMatch	http://www.fpml.org/coding-scheme/business-center-9-3#AUSY	AUSY	ISDA	semapv:LexicalMatching	CDM enum value -> FpML code
common_domain_model:BusinessCenterEnum.AZBA	AZBA	common_domain_model	skos:exactMatch	http://www.fpml.org/coding-scheme/business-center-9-3#AZBA	AZBA	ISDA	semapv:LexicalMatching	CDM enum value -> FpML code
common_domain_model:BusinessCenterEnum.BBBR	BBBR	common_domain_model	skos:exactMatch	http://www.fpml.org/coding-scheme/business-center-9-3#BBBR	BBBR	ISDA	semapv:LexicalMatching	CDM enum value -> FpML code
common_domain_model:BusinessCenterEnum.BDDH	BDDH	common_domain_model	skos:exactMatch	http://www.fpml.org/coding-scheme/business-center-9-3#BDDH	BDDH	ISDA	semapv:LexicalMatching	CDM enum value -> FpML code
common_domain_model:BusinessCenterEnum.BEBR	BEBR	common_domain_model	skos:exactMatch	http://www.fpml.org/coding-scheme/business-center-9-3#BEBR	BEBR	ISDA	semapv:LexicalMatching	CDM enum value -> FpML code
common_domain_model:BusinessCenterEnum.BGSO	BGSO	common_domain_model	skos:exactMatch	http://www.fpml.org/coding-scheme/business-center-9-3#BGSO	BGSO	ISDA	semapv:LexicalMatching	CDM enum value -> FpML code
common_domain_model:BusinessCenterEnum.BHMA	BHMA	common_domain_model	skos:exactMatch	http://www.fpml.org/coding-scheme/business-center-9-3#BHMA	BHMA	ISDA	semapv:LexicalMatching	CDM enum value -> FpML code
common_domain_model:BusinessCenterEnum.BMHA	BMHA	common_domain_model	skos:exactMatch	http://www.fpml.org/coding-scheme/business-center-9-3#BMHA	BMHA	ISDA	semapv:LexicalMatching	CDM enum value -> FpML code
common_domain_model:BusinessCenterEnum.BNBS	BNBS	common_domain_model	skos:exactMatch	http://www.fpml.org/coding-scheme/business-center-9-3#BNBS	BNBS	ISDA	semapv:LexicalMatching	CDM enum value -> FpML code
common_domain_model:BusinessCenterEnum.BOLP	BOLP	common_domain_model	skos:exactMatch	http://www.fpml.org/coding-scheme/business-center-9-3#BOLP	BOLP	ISDA	semapv:LexicalMatching	CDM enum value -> FpML code
common_domain_model:BusinessCenterEnum.BRBD	BRBD	common_domain_model	skos:exactMatch	http://www.fpml.org/coding-scheme/business-center-9-3#BRBD	BRBD	ISDA	semapv:LexicalMatching	CDM enum value -> FpML code
common_domain_model:BusinessCenterEnum.BRBR	BRBR	common_domain_model	skos:exactMatch	http://www.fpml.org/coding-scheme/business-center-9-3#BRBR	BRBR	ISDA	semapv:LexicalMatching	CDM enum value -> FpML code
common_domain_model:BusinessCenterEnum.BRRJ	BRRJ	common_domain_model	skos:exactMatch	http://www.fpml.org/coding-scheme/business-center-9-3#BRRJ	BRRJ	ISDA	semapv:LexicalMatching	CDM enum value -> FpML code
common_domain_model:BusinessCenterEnum.BRSP	BRSP	common_domain_model	skos:exactMatch	http://www.fpml.org/coding-scheme/business-center-9-3#BRSP	BRSP	ISDA	semapv:LexicalMatching	CDM enum value -> FpML code
common_domain_model:BusinessCenterEnum.BSNA	BSNA	common_domain_model	skos:exactMatch	http://www.fpml.org/coding-scheme/business-center-9-3#BSNA	BSNA	ISDA	semapv:LexicalMatching	CDM enum value -> FpML code
common_domain_model:BusinessCenterEnum.BWGA	BWGA	common_domain_model	skos:exactMatch	http://www.fpml.org/coding-scheme/business-center-9-3#BWGA	BWGA	ISDA	semapv:LexicalMatching	CDM enum value -> FpML code
common_domain_model:BusinessCenterEnum.BYMI	BYMI	common_domain_model	skos:exactMatch	http://www.fpml.org/coding-scheme/business-center-9-3#BYMI	BYMI	ISDA	semapv:LexicalMatching	CDM enum value -> FpML code
common_domain_model:BusinessCenterEnum.CACL	CACL	common_domain_model	skos:exactMatch	http://www.fpml.org/coding-scheme/business-center-9-3#CACL	CACL	ISDA	semapv:LexicalMatching	CDM enum value -> FpML code
common_domain_model:BusinessCenterEnum.CAFR	CAFR	common_domain_model	skos:exactMatch	http://www.fpml.org/coding-scheme/business-center-9-3#CAFR	CAFR	ISDA	semapv:LexicalMatching	CDM enum value -> FpML code
common_domain_model:BusinessCenterEnum.CAMO	CAMO	common_domain_model	skos:exactMatch	http://www.fpml.org/coding-scheme/business-center-9-3#CAMO	CAMO	ISDA	semapv:LexicalMatching	CDM enum value -> FpML code
common_domain_model:BusinessCenterEnum.CAOT	CAOT	common_domain_model	skos:exactMatch	http://www.fpml.org/coding-scheme/business-center-9-3#CAOT	CAOT	ISDA	semapv:LexicalMatching	CDM enum value -> FpML code
